SFAC	1.00	December	1969	FTR	FEP	FEI
11	0.03	0.97	0.00			
12	0.20	0.80	0.00			
13	0.10	0.90	0.00			
14	0.00	1.00	0.10			
SFAC	1.00	December		FTR	FEP	FEI
1	0.75	0.25	0.10			
2	0.03	0.97	0.10			
3	0.05	0.95	0.10			
4	0.50	0.50	0.10			
5	0.00	1.00	0.10			
6	0.60	0.40	0.10			
7	0.50	0.50	0.10			
8	0.00	1.00	0.05			
9	0.00	1.00	0.10			
10	0.10	0.90	0.10			
11	0.03	0.97	0.00			
12	0.05	0.95	0.00			
13	0.03	0.97	0.00			
14	0.00	1.00	0.10			
SFAC	1.00	January	1972	FTR	FEP	FEI
1	0.75	0.25	0.10			
2	0.03	0.97	0.10			
3	0.05	0.95	0.00			
4	0.30	0.70	0.10			
5	0.00	1.00	0.10			
6	0.60	0.40	0.10			
7	0.50	0.50	0.10			
8	0.00	1.00	0.05			
9	0.00	1.00	0.10			
10	0.10	0.90	0.10			
11	0.03	0.97	0.00			
12	0.05	0.95	0.00			
13	0.03	0.97	0.00			
14	0.00	1.00	0.10			
SFAC	1.00	February		FTR	FEP	FEI
1	0.75	0.25	0.10			
2	0.03	0.97	0.10			
3	0.05	0.95	0.00			
4	0.50	0.50	0.10			
5	0.00	1.00	0.10			
6	0.60	0.40	0.10			
7	0.50	0.50	0.10			
8	0.00	1.00	0.05			
9	0.00	1.00	0.10			
10	0.10	0.90	0.10			
11	0.03	0.97	0.00			
12	0.05	0.95	0.00			
13	0.03	0.97	0.00			
14	0.00	1.00	0.10			
SFAC	1.00	March		FTR	FEP	FEI
1	0.75	0.25	0.10			
2	0.10	0.90	0.10			
3	0.05	0.95	0.00			
4	0.60	0.40	0.15			
5	0.00	1.00	0.20			
6	0.80	0.20	0.10			
7	0.50	0.50	0.10			
8	0.00	1.00	0.05			
9	0.00	1.00	0.10			
10	0.50	0.50	0.20			
11	0.03	0.97	0.00			
12	0.28	0.72	0.00			
13	0.10	0.90	0.00			
14	0.00	1.00	0.10			
SFAC	1.00	April		FTR	FEP	FEI
1	0.75	0.25	0.10			
2	0.50	0.50	0.10			
3	0.15	0.85	0.00			
4	0.60	0.40	0.15			
5	0.00	1.00	0.20			
6	0.80	0.20	0.20			
7	0.97	0.03	0.03			
8	0.00	1.00	0.05			
9	0.00	1.00	0.03			
10	0.70	0.30	0.20			
11	0.03	0.97	0.00			
12	0.40	0.60	0.00			
13	0.50	0.50	0.00			
14	0.00	1.00	0.10			
SFAC	1.00	May		FTR	FEP	FEI
1	0.75	0.25	0.25			
2	0.60	0.40	0.10			
3	0.25	0.75	0.00			
4	0.65	0.35	0.15			
5	0.00	1.00	0.30			
6	0.80	0.20	0.20			
7	0.97	0.03	0.03			
8	0.00	1.00	0.05			
9	0.00	1.00	0.03			
10	0.70	0.30	0.30			
11	0.10	0.90	0.00			
12	0.38	0.62	0.00			
13	0.60	0.40	0.00			
14	0.00	1.00	0.10			
SFAC	1.00	June		FTR	FEP	FEI
1	0.75	0.25	0.20			
2	0.70	0.30	0.10			
3	0.70	0.30	0.10			
4	0.65	0.35	0.15			
5	0.00	1.00	0.30			
6	0.80	0.20	0.03			
7	0.97	0.03	0.03			
8	0.00	1.00	0.05			
9	0.00	1.00	0.03			
10	0.70	0.30	0.30			
11	0.10	0.90	0.00			
12	0.36	0.64	0.00			
13	0.70	0.30	0.00			
14	0.00	1.00	0.10			
SFAC	1.00	July		FTR	FEP	FEI
1	0.75	0.25	0.20			
2	0.80	0.20	0.10			
3	0.80	0.20	0.10			
4	0.30	0.70	0.15			
5	0.00	1.00	0.20			
6	0.80	0.20	0.03			
7	0.96	0.04	0.04			
8	0.00	1.00	0.05			
9	0.00	1.00	0.04			
10	0.70	0.30	0.20			
11	0.10	0.90	0.00			
12	0.36	0.64	0.00			
13	0.80	0.20	0.00			
14	0.00	1.00	0.10			
SFAC	1.00	August		FTR	FEP	FEI
1	0.75	0.25	0.20			
2	0.90	0.10	0.10			
3	0.80	0.20	0.10			
4	0.60	0.40	0.15			
5	0.00	1.00	0.20			
6	0.80	0.20	0.03			
7	0.97	0.03	0.03			
8	0.00	1.00	0.05			
9	0.00	1.00	0.03			
10	0.70	0.30	0.20			
11	0.10	0.90	0.00			
12	0.36	0.64	0.00			
13	0.90	0.10	0.00			
14	0.00	1.00	0.10			
SFAC	1.00	September		FTR	FEP	FEI
1	0.75	0.25	0.20			
2	0.90	0.10	0.10			
3	0.70	0.30	0.10			
4	0.90	0.10	0.10			
5	0.00	1.00	0.20			
6	0.80	0.20	0.03			
7	0.97	0.03	0.03			
8	0.00	1.00	0.05			
9	0.00	1.00	0.03			
10	0.70	0.30	0.20			
11	0.03	0.97	0.00			
12	0.36	0.64	0.00			
13	0.90	0.10	0.00			
14	0.00	1.00	0.10			
SFAC	1.00	October		FTR	FEP	FEI
1	0.75	0.25	0.25			
2	0.70	0.30	0.10			
3	0.33	0.67	0.10			
4	0.90	0.10	0.10			
5	0.00	1.00	0.20			
6	0.80	0.20	0.20			
7	0.50	0.50	0.20			
8	0.00	1.00	0.05			
9	0.00	1.00	0.30			
10	0.70	0.30	0.20			
11	0.03	0.97	0.00			
12	0.36	0.64	0.00			
13	0.70	0.30	0.00			
14	0.00	1.00	0.10			
SFAC	1.00	November		FTR	FEP	FEI
1	0.75	0.25	0.25			
2	0.10	0.90	0.10			
3	0.05	0.95	0.10			
4	0.70	0.30	0.15			
5	0.00	1.00	0.10			
6	0.80	0.20	0.20			
7	0.50	0.50	0.10			
8	0.00	1.00	0.05			
9	0.00	1.00	0.10			
10	0.70	0.30	0.10			
11	0.03	0.97	0.00			
12	0.20	0.80	0.00			
13	0.10	0.90	0.00			
14	0.00	1.00	0.10			
SFAC	1.00	December		FTR	FEP	FEI
1	0.75	0.25	0.10			
2	0.03	0.97	0.10			
3	0.05	0.95	0.10			
4	0.50	0.50	0.10			
5	0.00	1.00	0.10			
6	0.60	0.40	0.10			
7	0.50	0.50	0.10			
8	0.00	1.00	0.05			
9	0.00	1.00	0.10			
10	0.10	0.90	0.10			
11	0.03	0.97	0.00			
12	0.05	0.95	0.00			
13	0.03	0.97	0.00			
14	0.00	1.00	0.10			
SFAC	1.00	January	1973	FTR	FEP	FEI
1	0.75	0.25	0.10			
2	0.03	0.97	0.10			
3	0.05	0.95	0.00			
4	0.30	0.70	0.10			
5	0.00	1.00	0.10			
6	0.60	0.40	0.10			
7	0.50	0.50	0.10			
8	0.00	1.00	0.05			
9	0.00	1.00	0.10			
10	0.10	0.90	0.10			
11	0.03	0.97	0.00			
12	0.05	0.95	0.00			
13	0.03	0.97	0.00			
14	0.00	1.00	0.10			
SFAC	1.00	February		FTR	FEP	FEI
1	0.75	0.25	0.10			
2	0.03	0.97	0.10			
3	0.05	0.95	0.00			
4	0.50	0.50	0.10			
5	0.00	1.00	0.10			
6	0.60	0.40	0.10			
7	0.50	0.50	0.10			
8	0.00	1.00	0.05			
9	0.00	1.00	0.10			
10	0.10	0.90	0.10			
11	0.03	0.97	0.00			
12	0.05	0.95	0.00			
13	0.03	0.97	0.00			
14	0.00	1.00	0.10			
SFAC	1.00	March		FTR	FEP	FEI
1	0.75	0.25	0.10			
2	0.10	0.90	0.10			
3	0.05	0.95	0.00			
4	0.60	0.40	0.15			
5	0.00	1.00	0.20			
6	0.80	0.20	0.10			
7	0.50	0.50	0.10			
8	0.00	1.00	0.05			
9	0.00	1.00	0.10			
10	0.50	0.50	0.20			
11	0.03	0.97	0.00			
12	0.28	0.72	0.00			
13	0.10	0.90	0.00			
14	0.00	1.00	0.10			
SFAC	1.00	April		FTR	FEP	FEI
1	0.75	0.25	0.10			
2	0.50	0.50	0.10			
3	0.15	0.85	0.00			
4	0.60	0.40	0.15			
5	0.00	1.00	0.20			
6	0.80	0.20	0.20			
7	0.97	0.03	0.03			
8	0.00	1.00	0.05			
9	0.00	1.00	0.03			
10	0.70	0.30	0.20			
11	0.03	0.97	0.00			
12	0.40	0.60	0.00			
13	0.50	0.50	0.00			
14	0.00	1.00	0.10			
SFAC	1.00	May		FTR	FEP	FEI
1	0.75	0.25	0.25			
2	0.60	0.40	0.10			
3	0.25	0.75	0.00			
4	0.65	0.35	0.15			
5	0.00	1.00	0.30			
6	0.80	0.20	0.20			
7	0.97	0.03	0.03			
8	0.00	1.00	0.05			
9	0.00	1.00	0.03			
10	0.70	0.30	0.30			
11	0.10	0.90	0.00			
12	0.38	0.62	0.00			
13	0.60	0.40	0.00			
14	0.00	1.00	0.10			
SFAC	1.00	June		FTR	FEP	FEI
1	0.75	0.25	0.20			
2	0.70	0.30	0.10			
3	0.70	0.30	0.10			
4	0.65	0.35	0.15			
5	0.00	1.00	0.30			
6	0.80	0.20	0.03			
7	0.97	0.03	0.03			
8	0.00	1.00	0.05			
9	0.00	1.00	0.03			
10	0.70	0.30	0.30			
11	0.10	0.90	0.00			
12	0.36	0.64	0.00			
13	0.70	0.30	0.00			
14	0.00	1.00	0.10			
SFAC	1.00	July		FTR	FEP	FEI
1	0.75	0.25	0.20			
2	0.80	0.20	0.10			
3	0.80	0.20	0.10			
4	0.30	0.70	0.15			
5	0.00	1.00	0.20			
6	0.80	0.20	0.03			
7	0.96	0.04	0.04			
8	0.00	1.00	0.05			
9	0.00	1.00	0.04			
10	0.70	0.30	0.20			
11	0.10	0.90	0.00			
12	0.36	0.64	0.00			
13	0.80	0.20	0.00			
14	0.00	1.00	0.10			
SFAC	1.00	August		FTR	FEP	FEI
1	0.75	0.25	0.20			
2	0.90	0.10	0.10			
3	0.80	0.20	0.10			
4	0.60	0.40	0.15			
5	0.00	1.00	0.20			
6	0.80	0.20	0.03			
7	0.97	0.03	0.03			
8	0.00	1.00	0.05			
9	0.00	1.00	0.03			
10	0.70	0.30	0.20			
11	0.10	0.90	0.00			
12	0.36	0.64	0.00			
13	0.90	0.10	0.00			
14	0.00	1.00	0.10			
SFAC	1.00	September		FTR	FEP	FEI
1	0.75	0.25	0.20			
2	0.90	0.10	0.10			
3	0.70	0.30	0.10			
4	0.90	0.10	0.10			
5	0.00	1.00	0.20			
6	0.80	0.20	0.03			
7	0.97	0.03	0.03			
8	0.00	1.00	0.05			
9	0.00	1.00	0.03			
10	0.70	0.30	0.20			
11	0.03	0.97	0.00			
12	0.36	0.64	0.00			
13	0.90	0.10	0.00			
14	0.00	1.00	0.10			
SFAC	1.00	October		FTR	FEP	FEI
1	0.75	0.25	0.25			
2	0.70	0.30	0.10			
3	0.33	0.67	0.10			
4	0.90	0.10	0.10			
5	0.00	1.00	0.20			
6	0.80	0.20	0.20			
7	0.50	0.50	0.20			
8	0.00	1.00	0.05			
9	0.00	1.00	0.30			
10	0.70	0.30	0.20			
11	0.03	0.97	0.00			
12	0.36	0.64	0.00			
13	0.70	0.30	0.00			
14	0.00	1.00	0.10			
SFAC	1.00	November		FTR	FEP	FEI
1	0.75	0.25	0.25			
2	0.10	0.90	0.10			
3	0.05	0.95	0.10			
4	0.70	0.30	0.15			
5	0.00	1.00	0.10			
6	0.80	0.20	0.20			
7	0.50	0.50	0.10			
8	0.00	1.00	0.05			
9	0.00	1.00	0.10			
10	0.70	0.30	0.10			
11	0.03	0.97	0.00			
12	0.20	0.80	0.00			
13	0.10	0.90	0.00			
14	0.00	1.00	0.10			
SFAC	1.00	December		FTR	FEP	FEI
1	0.75	0.25	0.10			
2	0.03	0.97	0.10			
3	0.05	0.95	0.10			
4	0.50	0.50	0.10			
5	0.00	1.00	0.10			
6	0.60	0.40	0.10			
7	0.50	0.50	0.10			
8	0.00	1.00	0.05			
9	0.00	1.00	0.10			
10	0.10	0.90	0.10			
11	0.03	0.97	0.00			
12	0.05	0.95	0.00			
13	0.03	0.97	0.00			
14	0.00	1.00	0.10			
SFAC	1.00	January	1974	FTR	FEP	FEI
1	0.75	0.25	0.10			
2	0.03	0.97	0.10			
3	0.05	0.95	0.00			
4	0.30	0.70	0.10			
5	0.00	1.00	0.10			
6	0.60	0.40	0.10			
7	0.50	0.50	0.10			
8	0.00	1.00	0.05			
9	0.00	1.00	0.10			
10	0.10	0.90	0.10			
11	0.03	0.97	0.00			
12	0.05	0.95	0.00			
13	0.03	0.97	0.00			
14	0.00	1.00	0.10			
SFAC	1.00	February		FTR	FEP	FEI
1	0.75	0.25	0.10			
2	0.03	0.97	0.10			
3	0.05	0.95	0.00			
4	0.50	0.50	0.10			
5	0.00	1.00	0.10			
6	0.60	0.40	0.10			
7	0.50	0.50	0.10			
8	0.00	1.00	0.05			
9	0.00	1.00	0.10			
10	0.10	0.90	0.10			
11	0.03	0.97	0.00			
12	0.05	0.95	0.00			
13	0.03	0.97	0.00			
14	0.00	1.00	0.10			
SFAC	1.00	March		FTR	FEP	FEI
1	0.75	0.25	0.10			
2	0.10	0.90	0.10			
3	0.05	0.95	0.00			
4	0.60	0.40	0.15			
5	0.00	1.00	0.20			
6	0.80	0.20	0.10			
7	0.50	0.50	0.10			
8	0.00	1.00	0.05			
9	0.00	1.00	0.10			
10	0.50	0.50	0.20			
11	0.03	0.97	0.00			
12	0.28	0.72	0.00			
13	0.10	0.90	0.00			
14	0.00	1.00	0.10			
SFAC	1.00	April		FTR	FEP	FEI
1	0.75	0.25	0.10			
2	0.50	0.50	0.10			
3	0.15	0.85	0.00			
4	0.60	0.40	0.15			
5	0.00	1.00	0.20			
6	0.80	0.20	0.20			
7	0.97	0.03	0.03			
8	0.00	1.00	0.05			
9	0.00	1.00	0.03			
10	0.70	0.30	0.20			
11	0.03	0.97	0.00			
12	0.40	0.60	0.00			
13	0.50	0.50	0.00			
14	0.00	1.00	0.10			
SFAC	1.00	May		FTR	FEP	FEI
1	0.75	0.25	0.25			
2	0.60	0.40	0.10			
3	0.25	0.75	0.00			
4	0.65	0.35	0.15			
5	0.00	1.00	0.30			
6	0.80	0.20	0.20			
7	0.97	0.03	0.03			
8	0.00	1.00	0.05			
9	0.00	1.00	0.03			
10	0.70	0.30	0.30			
11	0.10	0.90	0.00			
12	0.38	0.62	0.00			
13	0.60	0.40	0.00			
14	0.00	1.00	0.10			
SFAC	1.00	June		FTR	FEP	FEI
1	0.75	0.25	0.20			
2	0.70	0.30	0.10			
3	0.70	0.30	0.10			
4	0.65	0.35	0.15			
5	0.00	1.00	0.30			
6	0.80	0.20	0.03			
7	0.97	0.03	0.03			
8	0.00	1.00	0.05			
9	0.00	1.00	0.03			
10	0.70	0.30	0.30			
11	0.10	0.90	0.00			
12	0.36	0.64	0.00			
13	0.70	0.30	0.00			
14	0.00	1.00	0.10			
SFAC	1.00	July		FTR	FEP	FEI
1	0.75	0.25	0.20			
2	0.80	0.20	0.10			
3	0.80	0.20	0.10			
4	0.30	0.70	0.15			
5	0.00	1.00	0.20			
6	0.80	0.20	0.03			
7	0.96	0.04	0.04			
8	0.00	1.00	0.05			
9	0.00	1.00	0.04			
10	0.70	0.30	0.20			
11	0.10	0.90	0.00			
12	0.36	0.64	0.00			
13	0.80	0.20	0.00			
14	0.00	1.00	0.10			
SFAC	1.00	August		FTR	FEP	FEI
1	0.75	0.25	0.20			
2	0.90	0.10	0.10			
3	0.80	0.20	0.10			
4	0.60	0.40	0.15			
5	0.00	1.00	0.20			
6	0.80	0.20	0.03			
7	0.97	0.03	0.03			
8	0.00	1.00	0.05			
9	0.00	1.00	0.03			
10	0.70	0.30	0.20			
11	0.10	0.90	0.00			
12	0.36	0.64	0.00			
13	0.90	0.10	0.00			
14	0.00	1.00	0.10			
SFAC	1.00	September		FTR	FEP	FEI
1	0.75	0.25	0.20			
2	0.90	0.10	0.10			
3	0.70	0.30	0.10			
4	0.90	0.10	0.10			
5	0.00	1.00	0.20			
6	0.80	0.20	0.03			
7	0.97	0.03	0.03			
8	0.00	1.00	0.05			
9	0.00	1.00	0.03			
10	0.70	0.30	0.20			
11	0.03	0.97	0.00			
12	0.36	0.64	0.00			
13	0.90	0.10	0.00			
14	0.00	1.00	0.10			
SFAC	1.00	October		FTR	FEP	FEI
1	0.75	0.25	0.25			
2	0.70	0.30	0.10			
3	0.33	0.67	0.10			
4	0.90	0.10	0.10			
5	0.00	1.00	0.20			
6	0.80	0.20	0.20			
7	0.50	0.50	0.20			
8	0.00	1.00	0.05			
9	0.00	1.00	0.30			
10	0.70	0.30	0.20			
11	0.03	0.97	0.00			
12	0.36	0.64	0.00			
13	0.70	0.30	0.00			
14	0.00	1.00	0.10			
SFAC	1.00	November		FTR	FEP	FEI
1	0.75	0.25	0.25			
2	0.10	0.90	0.10			
3	0.05	0.95	0.10			
4	0.70	0.30	0.15			
5	0.00	1.00	0.10			
6	0.80	0.20	0.20			
7	0.50	0.50	0.10			
8	0.00	1.00	0.05			
9	0.00	1.00	0.10			
10	0.70	0.30	0.10			
11	0.03	0.97	0.00			
12	0.20	0.80	0.00			
